# ==========================================================================
#  ROSSVILLE, ILLINOIS - THE TOWN ON ITS OWN STREET GRID
#
#  Not a grid that looks like Rossville - the actual one, taken from
#  OpenStreetMap and converted to metres about the crossing of Chicago Street
#  and Attica Street. That crossing is where the village numbers its addresses
#  from: East Attica ends and West Attica begins on exactly that longitude,
#  which is how the origin was found rather than assumed.
#
#  TWO THINGS THE REAL DATA GAVE THAT GUESSING WOULD NOT:
#
#    THE TOWN IS MOSTLY EAST OF ROUTE 1 - 780m east of Chicago Street and only
#    224m west. A symmetrical grid would have been wrong in a way you would feel
#    without being able to name it.
#
#    THE SPACING IS IRREGULAR - 104m Chicago to Harrison, 109 to Church, then
#    186 to Summit and 181 to Grove. Blocks average about 113m, not the 91m a
#    textbook 300-foot block gives, and the variation IS the character.
#
#  Several streets change name as they cross Route 1: McKibben east is McKibbin
#  west, Maple is Park Place, Gilbert is Perry, Stewart is Stufflebeam. Each is
#  emitted once under its eastern name, because the town is mostly east.
#
#  ONE SET OF LIGHTS, at Chicago and Attica. CitySignals requires both arms to be
#  a main road, so every other junction in the village is a stop sign.
#
#  THE WATER TOWER AND THE GRAIN ELEVATOR are the skyline. No tower block.
#
#  THE COUNTRY IS NEARLY EMPTY OF PEOPLE and that is right: Ross Township holds
#  1,617 against the village's 1,331, so 286 are spread over 42 square miles.
#  Seven to the square mile. It only adds up at county scale.
#
#  GROWS NORTH AND SOUTH: Chicago Street runs the full height of the map because
#  Hoopeston is six miles up it and Alvin five miles down it.
#
#  BOOTSTRAPPED by tools/relay-rossville.py on 2026-08-02; street positions in
#  tools/rossville-streets.json. THAT TOOL NO LONGER OWNS THIS FILE. Everything
#  since is authored here and here only - the roads moved onto their real rights
#  of way, fifteen alleys, Chicago Street's curve, the school, the downtown, the
#  1991 trades - and re-running the tool would replace the lot with a bootstrap.
#  It refuses to, and needs --write to be argued with. Edit THIS file.
# ==========================================================================

village Rossville
size 2100 2400

# ---- ground ---------------------------------------------------------------
# Field under everything - corn and beans to the horizon - grass over the village
# lots, and pavement ONLY at the crossroads. That last is load-bearing: CitySignals
# asks the ground at a junction's diagonals whether it is in a town, so paving the
# whole village would put lights on every corner of it.
terrain field 0,0 2100x2400
terrain water 68,1210 2x13
terrain water 66,1211 2x14
terrain water 64,1212 2x14
terrain water 63,1213 1x14
terrain water 61,1214 2x24
terrain water 59,1215 2x58
terrain water 58,1216 1x56
terrain water 56,1217 2x54
terrain water 54,1218 2x50
terrain water 53,1219 1x45
terrain water 52,1220 1x41
terrain water 51,1223 1x34
terrain water 68,1223 1x1
terrain water 50,1238 1x16
terrain water 61,1238 1x36
terrain water 62,1252 1x23
terrain water 63,1256 1x19
terrain water 64,1259 1x17
terrain water 65,1262 1x14
terrain water 66,1263 1x14
terrain water 67,1264 2x14
terrain water 69,1265 2x14
terrain water 71,1266 1x14
terrain water 72,1267 2x14
terrain water 55,1268 1x2
terrain water 74,1268 2x14
terrain water 76,1269 1x14
terrain water 77,1270 2x14
terrain water 57,1271 1x1
terrain water 79,1271 2x14
terrain water 81,1272 1x14
terrain water 82,1273 2x14
terrain water 84,1274 2x14
terrain water 86,1275 1x14
terrain water 87,1276 2x14
terrain water 89,1277 2x14
terrain water 91,1278 1x14
terrain water 92,1279 2x14
terrain water 94,1280 1x14
terrain water 95,1281 2x14
terrain water 97,1282 2x14
terrain water 99,1283 1x14
terrain water 100,1284 2x14
terrain water 102,1285 2x14
terrain water 104,1286 1x16
terrain water 105,1287 2x17
terrain water 107,1288 2x19
terrain water 109,1289 1x21
terrain water 110,1290 1x21
terrain water 90,1291 1x1
terrain water 111,1291 1x22
terrain water 112,1292 1x23
terrain water 113,1294 1x22
terrain water 114,1295 1x23
terrain water 115,1297 1x24
terrain water 103,1299 1x1
terrain water 116,1299 1x24
terrain water 117,1300 1x26
terrain water 118,1302 1x27
terrain water 119,1303 1x28
terrain water 106,1304 1x1
terrain water 120,1305 1x29
terrain water 121,1306 1x30
terrain water 108,1307 1x1
terrain water 122,1308 1x31
terrain water 123,1310 1x31
terrain water 124,1311 1x33
terrain water 125,1313 1x34
terrain water 126,1316 1x33
terrain water 127,1319 1x33
terrain water 128,1321 1x33
terrain water 129,1324 1x32
terrain water 130,1326 1x33
terrain water 131,1329 1x32
terrain water 132,1331 1x33
terrain water 133,1334 1x32
terrain water 134,1337 1x31
terrain water 135,1339 1x32
terrain water 136,1342 1x31
terrain water 137,1344 1x32
terrain water 138,1347 1x31
terrain water 139,1349 1x32
terrain water 140,1352 1x30
terrain water 141,1354 1x29
terrain water 142,1356 1x28
terrain water 143,1359 1x26
terrain water 144,1361 1x25
terrain water 145,1364 1x23
terrain water 146,1366 1x22
terrain water 147,1368 1x21
terrain water 148,1371 1x19
terrain water 149,1373 1x18
terrain water 150,1375 1x17
terrain water 151,1376 1x17
terrain water 152,1377 1x17
terrain water 153,1378 1x17
terrain water 154,1379 1x17
terrain water 155,1380 1x17
terrain water 156,1381 1x17
terrain water 157,1382 1x17
terrain water 158,1383 1x17
terrain water 159,1384 1x17
terrain water 160,1385 1x17
terrain water 161,1386 1x17
terrain water 162,1387 1x17
terrain water 163,1388 1x17
terrain water 164,1389 1x17
terrain water 165,1390 1x17
terrain water 166,1391 1x18
terrain water 167,1392 1x18
terrain water 168,1393 1x18
terrain water 169,1394 1x18
terrain water 170,1395 1x18
terrain water 171,1396 1x18
terrain water 172,1397 1x18
terrain water 173,1399 1x17
terrain water 174,1400 1x17
terrain water 175,1401 1x17
terrain water 176,1402 1x17
terrain water 177,1403 1x17
terrain water 178,1404 1x17
terrain water 179,1405 1x17
terrain water 180,1406 1x17
terrain water 181,1407 1x17
terrain water 182,1408 1x17
terrain water 183,1409 1x17
terrain water 184,1410 1x17
terrain water 185,1411 1x17
terrain water 186,1412 1x17
terrain water 187,1413 1x16
terrain water 188,1414 1x15
terrain water 189,1415 1x15
terrain water 190,1416 1x14
terrain water 191,1417 1x14
terrain water 192,1418 1x13
terrain water 193,1419 3x13
terrain water 196,1420 2x13
terrain water 198,1421 2x13
terrain water 200,1422 2x13
terrain water 202,1423 2x13
terrain water 204,1424 3x13
terrain water 207,1425 2x13
terrain water 209,1426 2x13
terrain water 211,1427 2x13
terrain water 213,1428 3x13
terrain water 216,1429 2x13
terrain water 218,1430 2x13
terrain water 220,1431 2x13
terrain water 195,1432 1x1
terrain water 222,1432 2x13
terrain water 197,1433 1x1
terrain water 224,1433 3x13
terrain water 227,1434 2x13
terrain water 229,1435 2x13
terrain water 231,1436 2x13
terrain water 206,1437 1x1
terrain water 233,1437 3x13
terrain water 236,1438 2x13
terrain water 238,1439 2x13
terrain water 240,1440 2x13
terrain water 215,1441 1x1
terrain water 242,1441 3x14
terrain water 217,1442 1x1
terrain water 245,1442 2x17
terrain water 247,1443 2x19
terrain water 249,1444 1x22
terrain water 250,1445 1x22
terrain water 226,1446 1x1
terrain water 251,1446 1x23
terrain water 252,1448 1x22
terrain water 376,1449 14x84
terrain water 235,1450 1x1
terrain water 253,1450 1x22
terrain water 367,1450 9x67
terrain water 390,1450 2x125
terrain water 237,1451 1x1
terrain water 254,1451 1x23
terrain water 365,1451 2x62
terrain water 392,1451 1x123
terrain water 363,1452 2x57
terrain water 393,1452 2x121
terrain water 255,1453 1x22
terrain water 361,1453 2x53
terrain water 395,1453 2x119
terrain water 256,1454 1x23
terrain water 358,1454 3x47
terrain water 397,1454 2x116
terrain water 243,1455 2x1
terrain water 356,1455 2x43
terrain water 399,1455 2x114
terrain water 244,1456 1x2
terrain water 257,1456 1x22
terrain water 354,1456 2x39
terrain water 401,1456 1x112
terrain water 258,1457 1x23
terrain water 351,1457 3x33
terrain water 402,1457 2x109
terrain water 349,1458 2x29
terrain water 404,1458 1x108
terrain water 246,1459 1x2
terrain water 259,1459 1x23
terrain water 347,1459 2x23
terrain water 405,1459 1x106
terrain water 345,1460 2x13
terrain water 406,1460 1x104
terrain water 260,1461 1x22
terrain water 343,1461 2x3
terrain water 407,1461 1x103
terrain water 248,1462 1x2
terrain water 261,1462 1x23
terrain water 408,1462 1x101
terrain water 409,1463 1x99
terrain water 262,1464 1x22
terrain water 344,1464 1x4
terrain water 263,1465 1x23
terrain water 410,1465 1x96
terrain water 411,1466 1x95
terrain water 264,1467 1x22
terrain water 412,1467 1x93
terrain water 413,1468 1x22
terrain water 265,1469 1x22
terrain water 266,1470 1x23
terrain water 267,1472 1x22
terrain water 414,1472 1x15
terrain water 268,1473 1x23
terrain water 346,1473 1x5
terrain water 269,1475 1x22
terrain water 270,1476 1x23
terrain water 415,1476 1x9
terrain water 271,1478 1x49
terrain water 416,1479 1x3
terrain water 272,1480 1x73
terrain water 273,1481 1x71
terrain water 348,1482 1x3
terrain water 274,1483 1x67
terrain water 275,1484 1x65
terrain water 276,1486 1x61
terrain water 350,1487 1x2
terrain water 277,1488 1x58
terrain water 278,1489 1x55
terrain water 352,1490 2x2
terrain water 279,1491 1x52
terrain water 280,1492 1x49
terrain water 353,1492 1x1
terrain water 413,1493 1x66
terrain water 281,1494 1x46
terrain water 355,1495 1x2
terrain water 414,1495 1x63
terrain water 282,1496 1x43
terrain water 415,1496 1x33
terrain water 357,1498 1x2
terrain water 416,1498 1x29
terrain water 417,1499 1x27
terrain water 359,1501 2x2
terrain water 418,1501 1x23
terrain water 419,1502 1x21
terrain water 360,1503 1x2
terrain water 420,1504 1x18
terrain water 362,1506 1x2
terrain water 421,1507 1x13
terrain water 364,1509 1x2
terrain water 366,1513 1x2
terrain water 368,1517 8x1
terrain water 422,1517 1x2
terrain water 369,1518 7x2
terrain water 370,1520 6x2
terrain water 371,1522 5x2
terrain water 372,1524 4x2
terrain water 373,1526 3x2
terrain water 283,1527 1x9
terrain water 374,1528 2x2
terrain water 375,1530 1x2
terrain water 415,1530 1x26
terrain water 416,1532 1x22
terrain water 271,1533 1x22
terrain water 377,1533 13x4
terrain water 417,1534 1x18
terrain water 270,1535 1x21
terrain water 269,1536 1x21
terrain water 418,1536 1x14
terrain water 378,1537 12x12
terrain water 268,1538 1x21
terrain water 419,1538 1x10
terrain water 267,1539 1x21
terrain water 337,1540 2x64
terrain water 420,1540 1x6
terrain water 266,1541 1x21
terrain water 335,1541 2x62
terrain water 339,1541 4x62
terrain water 421,1541 1x4
terrain water 265,1542 1x21
terrain water 333,1542 2x59
terrain water 343,1542 4x60
terrain water 330,1543 3x57
terrain water 347,1543 4x58
terrain water 264,1544 1x21
terrain water 328,1544 2x54
terrain water 351,1544 4x56
terrain water 263,1545 1x21
terrain water 326,1545 2x52
terrain water 355,1545 1x54
terrain water 262,1546 1x22
terrain water 323,1546 3x49
terrain water 356,1546 1x53
terrain water 321,1547 2x46
terrain water 357,1547 2x50
terrain water 261,1548 1x21
terrain water 319,1548 2x43
terrain water 359,1548 1x49
terrain water 260,1549 1x22
terrain water 316,1549 3x39
terrain water 360,1549 1x47
terrain water 379,1549 11x28
terrain water 314,1550 2x35
terrain water 361,1550 1x45
terrain water 259,1551 1x23
terrain water 312,1551 2x32
terrain water 362,1551 1x44
terrain water 258,1552 1x29
terrain water 309,1552 3x28
terrain water 363,1552 1x42
terrain water 307,1553 2x25
terrain water 364,1553 1x40
terrain water 372,1553 7x31
terrain water 257,1554 1x34
terrain water 305,1554 2x16
terrain water 365,1554 7x35
terrain water 256,1555 1x40
terrain water 304,1555 1x7
terrain water 255,1557 1x46
terrain water 254,1558 1x64
terrain water 253,1560 1x117
terrain water 252,1561 1x118
terrain water 251,1563 1x118
terrain water 250,1564 1x119
terrain water 249,1565 1x120
terrain water 402,1566 1x1
terrain water 248,1567 1x121
terrain water 306,1570 1x6
terrain water 397,1570 1x1
terrain water 247,1573 1x117
terrain water 393,1573 1x1
terrain water 390,1575 1x1
terrain water 379,1577 9x1
terrain water 308,1578 1x1
terrain water 379,1578 8x1
terrain water 379,1579 6x1
terrain water 246,1580 1x112
terrain water 310,1580 2x1
terrain water 379,1580 5x1
terrain water 311,1581 1x1
terrain water 379,1581 3x1
terrain water 379,1582 2x1
terrain water 313,1583 1x1
terrain water 372,1584 6x1
terrain water 315,1585 1x2
terrain water 372,1585 4x1
terrain water 372,1586 3x1
terrain water 245,1587 1x107
terrain water 372,1587 1x1
terrain water 317,1588 2x1
terrain water 318,1589 1x1
terrain water 365,1589 5x1
terrain water 365,1590 4x1
terrain water 320,1591 1x1
terrain water 365,1591 2x1
terrain water 365,1592 1x1
terrain water 322,1593 1x1
terrain water 244,1594 1x102
terrain water 324,1595 2x1
terrain water 327,1597 1x1
terrain water 357,1597 1x1
terrain water 329,1598 1x1
terrain water 332,1600 1x1
terrain water 351,1600 1x1
terrain water 334,1601 1x1
terrain water 347,1601 1x1
terrain water 243,1602 1x96
terrain water 343,1602 1x1
terrain water 339,1603 2x1
terrain water 242,1622 1x47
terrain water 254,1669 1x5
terrain water 242,1672 1x29
terrain water 241,1674 1x29
terrain water 240,1676 1x29
terrain water 239,1678 1x29
terrain water 238,1681 1x28
terrain water 237,1683 1x28
terrain water 236,1685 1x29
terrain water 235,1687 1x29
terrain water 234,1689 1x29
terrain water 233,1691 1x29
terrain water 232,1694 1x28
terrain water 231,1696 1x27
terrain water 230,1698 1x26
terrain water 229,1700 1x24
terrain water 228,1702 1x23
terrain water 227,1704 1x22
terrain water 226,1707 1x19
terrain water 225,1709 1x18
terrain water 224,1711 1x17
terrain water 223,1713 1x15
terrain water 221,1715 2x14
terrain water 220,1716 1x14
terrain water 218,1717 2x14
terrain water 217,1718 1x14
terrain water 215,1719 2x14
terrain water 214,1720 1x14
terrain water 212,1721 2x14
terrain water 211,1722 1x14
terrain water 209,1723 2x14
terrain water 208,1724 1x14
terrain water 206,1725 2x14
terrain water 205,1726 1x17
terrain water 203,1727 2x22
terrain water 202,1728 1x34
terrain water 200,1729 2x40
terrain water 221,1729 1x1
terrain water 199,1730 1x51
terrain water 197,1731 2x52
terrain water 218,1731 1x1
terrain water 196,1732 1x54
terrain water 195,1733 1x55
terrain water 215,1733 1x1
terrain water 194,1735 1x55
terrain water 212,1735 1x1
terrain water 209,1737 1x1
terrain water 206,1739 1x1
terrain water 193,1742 1x50
terrain water 192,1748 1x46
terrain water 203,1749 1x7
terrain water 191,1755 1x41
terrain water 190,1762 1x35
terrain water 189,1768 1x31
terrain water 200,1769 1x6
terrain water 188,1775 1x26
terrain water 187,1778 1x25
terrain water 186,1780 1x25
terrain water 185,1781 1x26
terrain water 184,1783 1x26
terrain water 197,1783 1x1
terrain water 183,1785 1x26
terrain water 182,1787 1x25
terrain water 181,1789 1x25
terrain water 180,1791 1x25
terrain water 179,1793 1x25
terrain water 178,1794 1x26
terrain water 177,1796 1x26
terrain water 176,1798 1x26
terrain water 175,1800 1x25
terrain water 174,1802 1x25
terrain water 173,1804 1x25
terrain water 172,1806 1x25
terrain water 171,1808 1x25
terrain water 170,1809 1x26
terrain water 169,1811 1x26
terrain water 168,1813 1x25
terrain water 167,1815 1x25
terrain water 166,1817 1x25
terrain water 165,1819 1x25
terrain water 164,1821 1x25
terrain water 163,1822 1x26
terrain water 162,1824 1x26
terrain water 161,1826 1x25
terrain water 160,1828 1x25
terrain water 159,1830 1x25
terrain water 158,1832 1x25
terrain water 157,1834 1x25
terrain water 156,1835 1x26
terrain water 155,1837 1x26
terrain water 154,1839 1x26
terrain water 153,1841 1x25
terrain water 152,1843 1x25
terrain water 151,1845 1x25
terrain water 150,1847 1x25
terrain water 149,1848 1x26
